id,name,company_id,asset_type_id,isin,sedol,cusip
1,MARSH & MCLENNAN COS INC,100001,1,,,
6,COLGATE-PALMOLIVE CO,100002,1,,,
15,FRANKLIN RESOURCES INC,100003,1,,,
18,CLOROX CO,100004,1,,,
22,LINK FINANCE CAYMAN 2009 LT,100005,1,,,
23,SINGAPORE TELECOMMUNICATION,100006,1,,,
24,SINGTEL GROUP TREASURY P,100007,1,,,
27,OPTUS FINANCE PTY LTD,100008,1,,,
29,SINGAPORE TELECOMMUNICATIONS,100009,1,,,
30,BIOGEN IDEC INC,100010,1,,,
31,BROADRIDGE FIN SOLUTIONS INC,100011,1,,,
32,TELSTRA CORP LTD,100012,1,,,
42,TANGER FACTORY OUTLETS,100013,1,,,
43,DANAHER CORP,100014,1,,,
47,CHURCH & DWIGHT CO INC,100015,1,,,
49,RECKITT BENCKISER TSY SVS PLC,100016,1,,,
51,CANADIAN NATIONAL RWY,100017,1,,,
58,CANADIAN NATL RAILWAY CO,100018,1,,,
60,MINNESOTA MINING & MFG,100019,1,,,
69,CVS CORP,100020,1,,,
83,CVS CORP-GLOBAL,100021,1,,,
84,SIGMA-ALDRICH CORP,100022,1,,,
85,INTUIT INC,100023,1,,,
86,NESTLE,100024,1,,,
100,FIRST CAPITAL REALTY INC,100025,1,,,
103,NOVA SCOTIA POWER INC,100026,1,,,
